;Name;Description;Followers
5846;Distributed Systems Architecture;Lets talk about modern distributed systems & also explore how these systems have evolved with time;33
5847;ROCKSTAR FIT;Telling stories to motivate and empower everyday real people to improve their daily lives through small, positive changes. We will have you feeling like you are winning in life around health, fitness and wellness.;33
5848;Messenger Marketing;All about marketing and sales using conversational channels like FB chat, Whatsapp etc;33
5849;WorldBrain.io;Everything surrounding news and insights in WorldBrain.io’s development;33
5850;ACMI;Australia’s only national museum of film, videogames, digital culture and art;33
5851;Dominic St-Pierre;After 15 years of corporate development, In 2015 I finally returned to Linux, open source and freedom.;33
5852;Design Portfolio;Irving Rivera’s Design Porfolio;33
5853;productiveDev;Javascript, Haskell, and developer ergonomics;33
5854;The Leadership Psychology;The Leadership Psychology strives to provide actionable advise on using positive psychology to maintain strong leadership skills and resiliency. Our articles are based on input from leadership authorities in business, medicine, social work, product development, and academia.;33
5855;Whose health is it anyway?;Carium helps healthcare organizations deliver outcomes-oriented, patient-centered care by supporting and empowering people along their unique life journeys.;33
5856;The Gold Coast Report;Africa’s premier podcast network;33
5857;SciComm Book reviews;Reviews of books about science and society;33
5858;BrownSugar28;We seek to inspire, educate, entertain and empower our audience through high-quality storytelling and cultural criticism.;33
5859;Fair for Dealers;Fair is a new way for consumers to get cars on their phone. And for dealers it’s a way to effortlessly increase velocity on pre-owned inventory — at zero cost. Learn more at fair.com/dealers;33
5860;Builderbox Blog;We are the Builderbox Team. At Builderbox, our goal is to build and implement smarter solutions for planning and managing construction projects. Here, we talk about construction technology and actionable advice for improving construction productivity. https://www.builderbox.io;33
5861;onbionic;At Bionic, we seed + launch startups that discover and solve new customer problems for the world’s most competitive companies.;33
5862;A Positive Path;A story of HIV, hope, and healing, featuring a loving family, caring friends, and a trusty bicycle.;33
5863;Mid Life Survival Guide;Publication to share Mid Life experiences, tips and ideas to navigate, and learn life lessons in the process;33
5864;PenPal;Our aim is to inspire you through timeless publications (essays, poems, short stories, etc.).;33
5865;The C2 Group;Enterprise Design + Technology;33
5866;Three-Minute Reads;Got a minute or three? Short reads for busy folks.;33
5867;Infermedica;Stories about AI-driven healthcare.;33
5868;It Can’t Be True! (And Most Of It Isn’t);It Can’t Be True! (And Most Of It Isn’t) Is my new Medium publication reporting on the latest alternative lifestyle news and advice from unbelievable fake experts.;33
5869;whatsthepoint;Perspectives on the purposes of Indian education;33
5870;Pitchspot;Pitchspot is an open-access innovation platform for innovators to discover, share, and build validated ideas using widely recognised frameworks such as the Business Model Canvas.;33
5871;Ginja.Club;Curious about Cannabis;33
5872;The Daily Insight;A community of writers discussing new ideas every day. Keep up with them all here.;33
5873;acast-tech;Acast is dedicated to solving the problems that face the podcast industry as a whole and this blog is where we share our learnings with the community. As the industry continues to grow, it is more important than ever to work towards democratizing audio through technology.;33
5874;The Melting Pot;A podcast, a newsletter and a blog. Host and Scaling Up technology business coach Dominic Monkhouse talks to entrepreneurs, authors and thought-leaders. I am fascinated to learn and share how they scaled their great companies and cultures.;33
5875;Hopelab;Inspired by hope, realized by science. Hopelab is a social innovation lab focused on designing science-based technologies to improve the health and well-being of teens and young adults.;33
5876;Scaleway;Scaleway is a leading European cloud infrastructure as a service provider offering a complete & simple public cloud ecosystem, bare metal servers & private datacenter hosting.;33
5877;SquaredAway;Military Spouse Chief Executive Assistants For Your Team.;33
5878;The Unexpected Autistic Life;When you find out you are autistic…;33
5879;Anchorless Bangladesh;Anchorless Bangladesh is an early stage venture fund focused on Bangladesh and its startup ecosystem.;33
5880;InspireFirst;InspireFirst was launched to teach you the art and science of good writing.;33
5881;Statista Charts;We tell up-to-date, relevant stories with data;33
5882;Le Jardin Poetry;My poetry. Your poetry. The best modern poetry. Send in your poetry to appear.;33
5883;Chris Nielsen;Solution Architect | Mine Optimisation at BHP in Perth, Australia;33
5884;The Interlude;Created by reporters sidelined by the pandemic, The Interlude is a new Medium publication covering everything from news and politics to lifestyle and culture.;33
5885;Special Nation;Navigating the special needs world: parenting, special education, family and community. What disability can teach us about the human condition.;33
5886;Colorado Media Project;Together, we are strengthening and sustaining trustworthy local journalism that serves all Coloradans.;32
5887;FordLabs;FordLabs is a software incubation group within Ford Motor Company, whose mission is to develop innovative software through human centered design, lean validation, and XP software development.;32
5888;Memos Of The Future;Executive summaries focusing on cutting edge topics;32
5889;Intel Analytics Software;Better Insights Faster: Big data driving AI;32
5890;Duke AI Society Blog;Duke Artificial Intelligence Society Blog;32
5891;Brain Traffic + Content Strategy;Musings and insights from Brain Traffic’s top content strategists.;32
5892;eNotes;Book nerds trying to create more book nerds.;32
5893;Interceptd;Thoughts, information, news, reports about mobile ad fraud from Interceptd team;32
5894;China Software Development;Sharing software development required in China;32
5895;KNOWARE;A small design studio sharing the experience of “making it”.;32
5896;Citizen Journalism;Citizen journalism: a rough guide to telling your stories in word and image.;32
5897;King’s Chronicles;Insights on one journey through life, focusing on pragmatic spirituality, effective communication, parenting, and relationships.;32
5898;Shutter Release;A photo blog brought to you by Brett Christensen;32
5899;All Things PaaS;All Things PaaS is your one-stop-shop for all things app building: from “how to build,” to “what to build,” for Admins, IT, Developers, and everyone else who builds on Salesforce Platform.;32
5900;Off Color Brewing;A place to delve deep into the history of beer through the lens of the contemporary craft beer movement;32
5901;Back and Forth;Every week, Kuan writes about life, travel, meditation, design and stories you inspire her to tell. She is building @ftwretreat, and has previously led design at CockroachDB, Etsy, Grand St, Washington Post, and Objective Subject.;32
